file_name	category_id
train_0.jpg	5
train_1.jpg	0
train_2.jpg	4
train_3.jpg	1
train_4.jpg	9
train_5.jpg	2
train_6.jpg	1
train_7.jpg	3
train_8.jpg	1
train_9.jpg	4
train_10.jpg	3
train_11.jpg	5
train_12.jpg	3
train_13.jpg	6
train_14.jpg	1
train_15.jpg	7
train_16.jpg	2
train_17.jpg	8
train_18.jpg	6
train_19.jpg	9
train_20.jpg	4
train_21.jpg	0
train_22.jpg	9
train_23.jpg	1
train_24.jpg	1
train_25.jpg	2
train_26.jpg	4
train_27.jpg	3
train_28.jpg	2
train_29.jpg	7
train_30.jpg	3
train_31.jpg	8
train_32.jpg	6
train_33.jpg	9
train_34.jpg	0
train_35.jpg	5
train_36.jpg	6
train_37.jpg	0
train_38.jpg	7
train_39.jpg	6
train_40.jpg	1
train_41.jpg	8
train_42.jpg	7
train_43.jpg	9
train_44.jpg	3
train_45.jpg	9
train_46.jpg	8
train_47.jpg	5
train_48.jpg	9
train_49.jpg	3
train_50.jpg	3
train_51.jpg	0
train_52.jpg	7
train_53.jpg	4
train_54.jpg	9
train_55.jpg	8
train_56.jpg	0
train_57.jpg	9
train_58.jpg	4
train_59.jpg	1
train_60.jpg	4
train_61.jpg	4
train_62.jpg	6
train_63.jpg	0
train_64.jpg	4
train_65.jpg	5
train_66.jpg	6
train_67.jpg	1
train_68.jpg	0
train_69.jpg	0
train_70.jpg	1
train_71.jpg	7
train_72.jpg	1
train_73.jpg	6
train_74.jpg	3
train_75.jpg	0
train_76.jpg	2
train_77.jpg	1
train_78.jpg	1
train_79.jpg	7
train_80.jpg	9
train_81.jpg	0
train_82.jpg	2
train_83.jpg	6
train_84.jpg	7
train_85.jpg	8
train_86.jpg	3
train_87.jpg	9
train_88.jpg	0
train_89.jpg	4
train_90.jpg	6
train_91.jpg	7
train_92.jpg	4
train_93.jpg	6
train_94.jpg	8
train_95.jpg	0
train_96.jpg	7
train_97.jpg	8
train_98.jpg	3
train_99.jpg	1
train_100.jpg	5
train_101.jpg	7
train_102.jpg	1
train_103.jpg	7
train_104.jpg	1
train_105.jpg	1
train_106.jpg	6
train_107.jpg	3
train_108.jpg	0
train_109.jpg	2
train_110.jpg	9
train_111.jpg	3
train_112.jpg	1
train_113.jpg	1
train_114.jpg	0
train_115.jpg	4
train_116.jpg	9
train_117.jpg	2
train_118.jpg	0
train_119.jpg	0
train_120.jpg	2
train_121.jpg	0
train_122.jpg	2
train_123.jpg	7
train_124.jpg	1
train_125.jpg	8
train_126.jpg	6
train_127.jpg	4
train_128.jpg	1
train_129.jpg	6
train_130.jpg	3
train_131.jpg	4
train_132.jpg	5
train_133.jpg	9
train_134.jpg	1
train_135.jpg	3
train_136.jpg	3
train_137.jpg	8
train_138.jpg	5
train_139.jpg	4
train_140.jpg	7
train_141.jpg	7
train_142.jpg	4
train_143.jpg	2
train_144.jpg	8
train_145.jpg	5
train_146.jpg	8
train_147.jpg	6
train_148.jpg	7
train_149.jpg	3
train_150.jpg	4
train_151.jpg	6
train_152.jpg	1
train_153.jpg	9
train_154.jpg	9
train_155.jpg	6
train_156.jpg	0
train_157.jpg	3
train_158.jpg	7
train_159.jpg	2
train_160.jpg	8
train_161.jpg	2
train_162.jpg	9
train_163.jpg	4
train_164.jpg	4
train_165.jpg	6
train_166.jpg	4
train_167.jpg	9
train_168.jpg	7
train_169.jpg	0
train_170.jpg	9
train_171.jpg	2
train_172.jpg	9
train_173.jpg	5
train_174.jpg	1
train_175.jpg	5
train_176.jpg	9
train_177.jpg	1
train_178.jpg	2
train_179.jpg	3
train_180.jpg	2
train_181.jpg	3
train_182.jpg	5
train_183.jpg	9
train_184.jpg	1
train_185.jpg	7
train_186.jpg	6
train_187.jpg	2
train_188.jpg	8
train_189.jpg	2
train_190.jpg	2
train_191.jpg	5
train_192.jpg	0
train_193.jpg	7
train_194.jpg	4
train_195.jpg	9
train_196.jpg	7
train_197.jpg	8
train_198.jpg	3
train_199.jpg	2
